time,Bz,Dst
2018-08-23T00:30:00.000Z,-0.700000,-13
2018-08-23T01:30:00.000Z,-2.20000,-15
2018-08-23T02:30:00.000Z,-1.20000,-14
2018-08-23T03:30:00.000Z,-0.500000,-9
2018-08-23T04:30:00.000Z,-1.20000,-7
2018-08-23T05:30:00.000Z,-1.70000,-6
2018-08-23T06:30:00.000Z,-1.60000,-6
2018-08-23T07:30:00.000Z,-1.80000,-7
2018-08-23T08:30:00.000Z,0.200000,-5
2018-08-23T09:30:00.000Z,0.100000,-4
2018-08-23T10:30:00.000Z,-0.900000,-4
2018-08-23T11:30:00.000Z,-1.00000,-6
2018-08-23T12:30:00.000Z,-0.400000,-7
2018-08-23T13:30:00.000Z,-1.00000,-5
2018-08-23T14:30:00.000Z,-1.80000,-8
2018-08-23T15:30:00.000Z,-2.00000,-12
2018-08-23T16:30:00.000Z,-1.70000,-14
2018-08-23T17:30:00.000Z,0.100000,-13
2018-08-23T18:30:00.000Z,1.40000,-13
2018-08-23T19:30:00.000Z,0.700000,-13
2018-08-23T20:30:00.000Z,-0.600000,-12
2018-08-23T21:30:00.000Z,-0.00000,-11
2018-08-23T22:30:00.000Z,0.800000,-11
2018-08-23T23:30:00.000Z,0.700000,-11
2018-08-24T00:30:00.000Z,1.70000,-10
2018-08-24T01:30:00.000Z,-0.300000,-9
2018-08-24T02:30:00.000Z,0.200000,-10
2018-08-24T03:30:00.000Z,-1.30000,-8
2018-08-24T04:30:00.000Z,-1.40000,-6
2018-08-24T05:30:00.000Z,-2.60000,-5
2018-08-24T06:30:00.000Z,1.00000,-4
2018-08-24T07:30:00.000Z,-1.20000,4
2018-08-24T08:30:00.000Z,-1.80000,8
2018-08-24T09:30:00.000Z,-2.20000,6
2018-08-24T10:30:00.000Z,-1.30000,6
2018-08-24T11:30:00.000Z,3.60000,4
2018-08-24T12:30:00.000Z,-1.90000,5
2018-08-24T13:30:00.000Z,-6.00000,-2
2018-08-24T14:30:00.000Z,-5.20000,-8
2018-08-24T15:30:00.000Z,-3.50000,-11
2018-08-24T16:30:00.000Z,-2.10000,-10
2018-08-24T17:30:00.000Z,0.600000,-7
2018-08-24T18:30:00.000Z,0.500000,-4
2018-08-24T19:30:00.000Z,-0.800000,-4
2018-08-24T20:30:00.000Z,0.700000,-6
2018-08-24T21:30:00.000Z,0.600000,-5
2018-08-24T22:30:00.000Z,1.80000,-4
2018-08-24T23:30:00.000Z,2.30000,-5
2018-08-25T00:30:00.000Z,1.40000,-4
2018-08-25T01:30:00.000Z,1.60000,-4
2018-08-25T02:30:00.000Z,1.30000,-1
2018-08-25T03:30:00.000Z,0.400000,3
2018-08-25T04:30:00.000Z,3.70000,6
2018-08-25T05:30:00.000Z,5.10000,6
2018-08-25T06:30:00.000Z,6.00000,6
2018-08-25T07:30:00.000Z,5.30000,9
2018-08-25T08:30:00.000Z,2.70000,19
2018-08-25T09:30:00.000Z,7.30000,14
2018-08-25T10:30:00.000Z,7.00000,17
2018-08-25T11:30:00.000Z,5.10000,15
2018-08-25T12:30:00.000Z,6.20000,16
2018-08-25T13:30:00.000Z,6.30000,18
2018-08-25T14:30:00.000Z,5.70000,15
2018-08-25T15:30:00.000Z,1.20000,12
2018-08-25T16:30:00.000Z,-3.60000,8
2018-08-25T17:30:00.000Z,-6.30000,5
2018-08-25T18:30:00.000Z,-8.90000,-8
2018-08-25T19:30:00.000Z,-8.30000,-26
2018-08-25T20:30:00.000Z,-9.60000,-36
2018-08-25T21:30:00.000Z,-9.50000,-31
2018-08-25T22:30:00.000Z,-11.2000,-34
2018-08-25T23:30:00.000Z,-10.6000,-50
2018-08-26T00:30:00.000Z,-10.8000,-60
2018-08-26T01:30:00.000Z,-12.7000,-74
2018-08-26T02:30:00.000Z,-13.1000,-85
2018-08-26T03:30:00.000Z,-14.5000,-104
2018-08-26T04:30:00.000Z,-14.7000,-127
2018-08-26T05:30:00.000Z,-14.6000,-154
2018-08-26T06:30:00.000Z,-12.7000,-175
2018-08-26T07:30:00.000Z,-11.8000,-174
